0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:26 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:26 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:27 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:28 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:28 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:28 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:28 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:56 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:56 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:56 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 200 1191
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:56 +0530] "GET /Crime_Report/siteImages/logo22.png HTTP/1.1" 200 55591
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:56 +0530] "GET /Crime_Report/siteImages/cool.png HTTP/1.1" 200 187064
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:56 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:57 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:57 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:57 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:43:57 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1628
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:32 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:32 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:33 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:34 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:34 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:34 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:34 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:44:34 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:45:02 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:45:02 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 978
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:45:03 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:45:03 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:45:03 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1620
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:45:03 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:46:59 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:46:59 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:46:59 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:46:59 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:00 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:00 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:00 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:03 +0530] "POST /Crime_Report/recover.jsp HTTP/1.1" 200 137
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:50 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:50 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:50 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:50 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:50 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:51 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:51 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:51 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:51 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:51 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:52 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:52 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:47:52 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:02 +0530] "GET /Crime_Report/ HTTP/1.1" 200 1430
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:02 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:03 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:06 +0530] "GET /Crime_Report/login.jsp HTTP/1.1" 200 1961
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:06 +0530] "GET /Crime_Report/css/login.css HTTP/1.1" 200 1058
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:08 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:48:08 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:56:04 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1728
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:56:04 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:56:04 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:58:13 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 1746
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:58:13 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:14:58:13 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 200 363
0:0:0:0:0:0:0:1 - - [29/Apr/2023:15:01:53 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [29/Apr/2023:15:01:53 +0530] "GET /Crime_Report/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:15:01:53 +0530] "GET /Crime_Report/css/forget.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:15:01:53 +0530] "GET /Crime_Report/Forget.jsp HTTP/1.1" 200 2013
